Cuervos	9819	8357	193.3857	0.9138	196.0913	1.1387	2.5	2500	1000	1
Cuervos	9819	8357	193.8487	0.9385	196.5678	1.1635	2.5	2500	1000	1
Cuervos	9819	8357	194.3123	0.9427	197.0450	1.1592	2.5	2500	1000	1
Cuervos	9819	8357	194.7760	0.9463	197.5219	1.1410	2.5	2500	1000	1
Cuervos	9819	8357	195.2348	0.8862	197.9912	1.0590	2.5	2500	1000	1
Cuervos	9819	8357	195.6659	0.7242	198.4281	0.8748	2.5	2500	1000	1
Cuervos	9819	8357	196.0890	0.5345	198.8545	0.6605	2.5	2500	1000	1
Cuervos	9819	8357	196.5294	0.3966	199.2982	0.4896	2.5	2500	1000	1
Cuervos	9819	8357	196.9875	0.3403	199.7635	0.3922	2.5	2500	1000	1
Cuervos	9819	8357	197.4420	0.3951	200.2350	0.3991	2.5	2500	1000	1
Cuervos	9819	8357	197.8910	0.5080	200.7043	0.4849	2.5	2500	1000	1
Cuervos	9819	8357	198.3491	0.5767	201.1781	0.5379	2.5	2500	1000	1
Cuervos	9819	8357	198.8114	0.6113	201.6550	0.5562	2.5	2500	1000	1
Cuervos	9438	7611	198.7321	0.4210	201.5741	0.3706	2.5	2500	1000	1
Cuervos	9438	7611	199.0554	0.0672	201.9014	0.0097	2.5	2500	1000	1
Cuervos	9438	7611	199.3280	-0.3268	202.1769	-0.3920	2.5	2500	1000	1
Cuervos	9438	7611	199.5405	-0.7560	202.3900	-0.8297	2.5	2500	1000	1
Cuervos	9438	7611	199.6952	-1.2092	202.5463	-1.2907	2.5	2500	1000	1
Cuervos	9438	7611	200.1225	-1.2270	202.9904	-1.3533	2.5	2500	1000	1
Cuervos	9438	7611	200.5885	-1.1178	203.4776	-1.3546	2.5	2500	1000	1
Cuervos	9438	7611	201.0542	-1.0044	203.9638	-1.3260	2.5	2500	1000	1
Cuervos	9438	7611	201.5238	-0.9092	204.4505	-1.3082	2.5	2500	1000	1
Cuervos	9438	7611	201.9959	-0.8265	204.9368	-1.3289	2.5	2500	1000	1
Cuervos	9438	7611	202.4730	-0.8049	205.4169	-1.4058	2.5	2500	1000	1
Cuervos	9438	7611	202.9479	-0.8591	205.8849	-1.4808	2.5	2500	1000	1
Cuervos	9438	7611	203.4108	-0.9829	206.3706	-1.5097	2.5	2500	1000	1
Cuervos	9438	7611	203.8760	-1.0973	206.8571	-1.4925	2.5	2500	1000	1
Cuervos	8157	629	198.8583	-2.5925	198.8584	-3.6042	2.5	2500	1000	1
Cuervos	8157	629	199.3388	-2.6034	199.3389	-3.6151	2.5	2500	1000	1
Cuervos	8157	629	199.8194	-2.6100	199.8195	-3.6217	2.5	2500	1000	1
Cuervos	8148	610	199.8473	-2.5185	199.8474	-3.5302	2.5	2500	1000	1
Cuervos	8148	610	200.3311	-2.4927	200.3313	-3.5044	2.5	2500	1000	1
Cuervos	8148	610	200.8150	-2.4669	200.8151	-3.4785	2.5	2500	1000	1
Cuervos	8148	610	201.2989	-2.4410	201.2990	-3.4527	2.5	2500	1000	1
Cuervos	8148	610	201.7828	-2.4152	201.7829	-3.4269	2.5	2500	1000	1
Cuervos	8148	610	202.2672	-2.4031	202.2673	-3.4148	2.5	2500	1000	1
Cuervos	8148	610	202.7504	-2.4339	202.7505	-3.4456	2.5	2500	1000	1
Cuervos	8148	610	203.2341	-2.4204	203.2343	-3.4321	2.5	2500	1000	1
Cuervos	8148	610	203.7164	-2.3750	203.7166	-3.3866	2.5	2500	1000	1
Cuervos	8148	610	204.1950	-2.3004	204.1952	-3.3121	2.5	2500	1000	1
Cuervos	8148	610	204.6741	-2.2279	204.6742	-3.2396	2.5	2500	1000	1
Cuervos	8148	610	205.1567	-2.2234	205.1568	-3.2350	2.5	2500	1000	1
Cuervos	8148	610	205.6398	-2.2598	205.6399	-3.2715	2.5	2500	1000	1
Cuervos	8148	610	206.1231	-2.2576	206.1232	-3.2693	2.5	2500	1000	1
Cuervos	8148	610	206.6064	-2.2233	206.6065	-3.2349	2.5	2500	1000	1
