193.6884	-3.8239	Barco	12961
194.1480	-3.8346	Barco	12961
194.6300	-3.8460	Barco	12961
194.8058	-3.8490	Barco	12961
194.8501	-3.6982	Barco	12974
195.3316	-3.6713	Barco	12974
195.8131	-3.6445	Barco	12974
196.2946	-3.6176	Barco	12974
196.7761	-3.5908	Barco	12974
197.2581	-3.5778	Barco	12974
197.7387	-3.6176	Barco	12974
198.2204	-3.5944	Barco	12974
198.6999	-3.5419	Barco	12974
199.1755	-3.4593	Barco	12974
199.6521	-3.3836	Barco	12974
200.1337	-3.4082	Barco	12974
200.6139	-3.4528	Barco	12974
201.0953	-3.4245	Barco	12974
201.4016	-3.4002	Barco	12974
201.4324	-3.5519	Barco	13006
201.9131	-3.5132	Barco	13006
202.3938	-3.4746	Barco	13006
202.8746	-3.4359	Barco	13006
203.1836	-3.4074	Barco	13006
203.2175	-3.4042	Barco	13006
203.2347	-3.4640	Barco	13032
203.6790	-3.4225	Barco	13032
204.1597	-3.3833	Barco	13032
204.6410	-3.3538	Barco	13032
204.7849	-3.3450	Barco	13032
204.7999	0.1555	Barco	13056
205.2295	0.1583	Barco	13056
205.6778	0.1468	Barco	13056
205.8496	0.1425	Barco	13056
205.8850	0.1417	Barco	13056
204.8165	-3.1251	Barco	13059
205.2979	-3.0963	Barco	13059
205.7792	-3.0675	Barco	13059
206.2606	-3.0387	Barco	13059
206.7420	-3.0099	Barco	13059
207.2234	-2.9811	Barco	13059
207.7048	-2.9523	Barco	13059
208.1861	-2.9235	Barco	13059
208.6675	-2.8947	Barco	13059
209.1489	-2.8659	Barco	13059
209.6303	-2.8371	Barco	13059
210.1116	-2.8083	Barco	13059
210.5930	-2.7794	Barco	13059
211.0744	-2.7506	Barco	13059
211.5558	-2.7218	Barco	13059
212.0371	-2.6930	Barco	13059
212.5193	-2.6882	Barco	13059
213.0002	-2.6519	Barco	13059
213.4810	-2.6140	Barco	13059
213.9618	-2.5761	Barco	13059
214.4426	-2.5382	Barco	13059
214.9234	-2.5003	Barco	13059
215.4052	-2.4800	Barco	13059
215.8844	-2.5349	Barco	13059
