22.000
0.0000	0.16290
42.8035	0.1629
44.6978	0.1593
46.6977	0.1554
48.6977	0.1515
49.0504	0.1508
50.6977	0.1477
50.6985	0.1477
50.8105	0.1474
52.6977	0.1438
53.0183	0.1432
54.4192	0.1405
54.6977	0.1399
54.7496	0.1398
56.6977	0.1361
57.4381	0.1349
57.4577	0.1349
58.2209	0.1337
58.2270	0.1337
58.6977	0.1329
58.9771	0.1329
59.0072	0.1329
60.6977	0.1330
62.5398	0.1869
62.6967	0.1915
64.4178	0.3069
77.1433	0.2514
78.3257	0.2132
80.3201	0.3137
82.3142	0.3185
84.2902	0.5590
86.2736	0.3512
88.2668	0.4548
89.1345	0.6745
90.0424	0.9223
93.0354	1.0488
97.1665	0.9645
100.2437	1.47030
103.3210	1.51250
111.5832	2.01830
116.9367	1.80750
118.9180	1.55460
123.6393	2.18690
127.0046	2.05270
128.8571	1.74400
130.9062	1.60020
133.4225	1.85180
135.2918	1.92370
137.4127	2.21130
138.8116	1.90340
138.8625	1.89220
139.4647	1.75970
141.3811	1.75970
143.8304	1.83620
143.8342	1.83630
145.5207	2.37290
146.9336	3.08540
147.4990	3.22620
147.4985	3.22610
148.8573	3.56450
150.8496	3.56310
152.8492	3.55550
154.8470	3.48700
156.7958	3.08420
157.3194	2.95360
158.1389	2.74930
158.6867	2.61270
159.3918	2.54400
160.6619	2.42020
162.6588	2.30970
163.8283	2.25400
164.6563	2.21460
166.6421	2.27320
168.2716	2.13270
168.6220	2.10250
168.6628	2.09090
169.2502	1.92280
170.5431	1.55270
172.5261	1.37270
174.5245	1.33780
176.5197	1.39700
178.4925	1.62250
179.8729	1.93400
180.3366	1.93400
180.7581	1.93400
181.4747	1.80750
180.5052	1.84970
182.2068	1.69560
184.1602	1.84880
186.1016	2.10800
187.9839	1.81860
189.6105	1.00660
191.7182	0.96450
193.4298	1.01950
194.9600	0.69480
196.2315	0.62530
199.4666	0.71640
200.3779	0.48860
202.4282	0.30630
203.7040	0.12410
208.5794	0.12410
211.0505	0.26590
211.0505	0.26590
212.6919	0.36010
213.1349	0.33820
215.1347	0.30820
217.1344	0.27790
219.1342	0.24750
221.1340	0.21720
223.1337	0.18690
225.1335	0.15650
227.1333	0.12620
229.1331	0.09590
231.1329	0.06560
233.1326	0.03520
235.1324	0.00490
237.1322	-0.0254
239.1320	-0.0558
239.5802	-0.0626
